WAVLEN_MCRN,TOTAL_RAD,GRND_RFLCT,PROFILE,INITIAL_H2O,FINAL_H2O
0.462,0.0046023,0.031319,MLW,0.25,0.13888
0.463,0.0045595,0.031315,MLW,0.25,0.13888
0.464,0.0045588,0.031604,MLW,0.25,0.13888
0.465,0.0044421,0.031077,MLW,0.25,0.13888
0.466,0.0045326,0.032002,MLW,0.25,0.13888
0.467,0.0043552,0.031028,MLW,0.25,0.13888
0.468,0.0045613,0.032788,MLW,0.25,0.13888
0.469,0.0044549,0.032315,MLW,0.25,0.13888
0.47,0.0043748,0.032012,MLW,0.25,0.13888
0.471,0.0043352,0.032014,MLW,0.25,0.13888
0.472,0.0043602,0.032485,MLW,0.25,0.13888
0.473,0.0042914,0.032253,MLW,0.25,0.13888
0.474,0.0042579,0.032288,MLW,0.25,0.13888
0.475,0.0043891,0.033578,MLW,0.25,0.13888
0.476,0.0042505,0.0328,MLW,0.25,0.13888
0.477,0.0041817,0.032552,MLW,0.25,0.13888
0.478,0.004347,0.03413,MLW,0.25,0.13888
0.479,0.0040724,0.032249,MLW,0.25,0.13888
0.48,0.0041278,0.032968,MLW,0.25,0.13888
0.481,0.0040502,0.032626,MLW,0.25,0.13888
0.482,0.0041135,0.033418,MLW,0.25,0.13888
0.483,0.0040473,0.033161,MLW,0.25,0.13888
0.484,0.0038847,0.032096,MLW,0.25,0.13888
0.485,0.0038649,0.032203,MLW,0.25,0.13888
0.486,0.0031169,0.026182,MLW,0.25,0.13888
0.487,0.0034823,0.029504,MLW,0.25,0.13888
0.488,0.0037316,0.031881,MLW,0.25,0.13888
0.489,0.0034607,0.029806,MLW,0.25,0.13888
0.49,0.0038919,0.0338,MLW,0.25,0.13888
0.491,0.0035933,0.031462,MLW,0.25,0.13888
0.492,0.0034306,0.030283,MLW,0.25,0.13888
0.493,0.0036897,0.032841,MLW,0.25,0.13888
0.494,0.0035194,0.03158,MLW,0.25,0.13888
0.495,0.0037415,0.033841,MLW,0.25,0.13888
0.496,0.0035999,0.032824,MLW,0.25,0.13888
0.497,0.0034736,0.031924,MLW,0.25,0.13888
0.498,0.003356,0.031083,MLW,0.25,0.13888
0.499,0.0033237,0.031036,MLW,0.25,0.13888
0.5,0.0032842,0.030902,MLW,0.25,0.13888
0.501,0.0031798,0.030157,MLW,0.25,0.13888
0.502,0.0031429,0.030033,MLW,0.25,0.13888
0.503,0.0032853,0.031632,MLW,0.25,0.13888
0.504,0.0030162,0.029226,MLW,0.25,0.13888
0.505,0.0032423,0.0317,MLW,0.25,0.13888
0.506,0.0034477,0.033964,MLW,0.25,0.13888
0.507,0.0031829,0.031594,MLW,0.25,0.13888
0.508,0.0030433,0.030441,MLW,0.25,0.13888
0.509,0.0032336,0.032604,MLW,0.25,0.13888
0.51,0.0031204,0.031702,MLW,0.25,0.13888
0.511,0.0031153,0.031897,MLW,0.25,0.13888
0.512,0.0032126,0.033141,MLW,0.25,0.13888
0.513,0.0029299,0.030455,MLW,0.25,0.13888
0.514,0.0028694,0.030045,MLW,0.25,0.13888
0.515,0.0028999,0.030593,MLW,0.25,0.13888
0.516,0.0030025,0.031911,MLW,0.25,0.13888
0.517,0.0022084,0.023637,MLW,0.25,0.13888
0.518,0.0026998,0.029112,MLW,0.25,0.13888
0.519,0.0025518,0.027728,MLW,0.25,0.13888
0.52,0.0027757,0.030377,MLW,0.25,0.13888
0.521,0.0027646,0.030475,MLW,0.25,0.13888
0.522,0.0028478,0.031618,MLW,0.25,0.13888
0.523,0.0026419,0.029541,MLW,0.25,0.13888
0.524,0.0028215,0.031772,MLW,0.25,0.13888
0.525,0.0028014,0.031767,MLW,0.25,0.13888
0.526,0.0026281,0.030013,MLW,0.25,0.13888
0.527,0.0022915,0.026354,MLW,0.25,0.13888
0.528,0.0026843,0.031089,MLW,0.25,0.13888
0.529,0.0027856,0.032488,MLW,0.25,0.13888
0.53,0.0025989,0.03052,MLW,0.25,0.13888
0.531,0.002804,0.033157,MLW,0.25,0.13888
0.532,0.0026625,0.031705,MLW,0.25,0.13888
0.533,0.0023415,0.028075,MLW,0.25,0.13888
0.534,0.0024886,0.030045,MLW,0.25,0.13888
0.535,0.0025514,0.031015,MLW,0.25,0.13888
0.536,0.0026685,0.032658,MLW,0.25,0.13888
0.537,0.0024572,0.030277,MLW,0.25,0.13888
0.538,0.0025899,0.032128,MLW,0.25,0.13888
0.539,0.0025323,0.031624,MLW,0.25,0.13888
0.54,0.0024481,0.030776,MLW,0.25,0.13888
0.541,0.0022581,0.02857,MLW,0.25,0.13888
0.542,0.002474,0.031507,MLW,0.25,0.13888
0.543,0.0023688,0.030376,MLW,0.25,0.13888
0.544,0.0024668,0.031838,MLW,0.25,0.13888
0.545,0.0024189,0.031427,MLW,0.25,0.13888
