WAVLEN_MCRN,TOTAL_RAD,ALBEDO,WVP_COL,GRND_RFLT
0.536,0.0027048,0,0.2,
0.537,0.0024906,0,0.2,
0.538,0.0026251,0,0.2,
0.539,0.0025667,0,0.2,
0.54,0.0024814,0,0.2,
0.541,0.0022882,0,0.2,
0.542,0.0025073,0,0.2,
0.543,0.002402,0,0.2,
0.544,0.0025011,0,0.2,
0.545,0.0024531,0,0.2,
0.546,0.0023924,0,0.2,
0.547,0.0024476,0,0.2,
0.548,0.0022801,0,0.2,
0.549,0.0023689,0,0.2,
0.55,0.0023176,0,0.2,
0.551,0.002292,0,0.2,
0.552,0.0023615,0,0.2,
0.553,0.0022611,0,0.2,
0.554,0.0023194,0,0.2,
0.555,0.0023019,0,0.2,
0.556,0.0022291,0,0.2,
0.557,0.0021755,0,0.2,
0.558,0.0022087,0,0.2,
0.559,0.0020821,0,0.2,
0.56,0.0020899,0,0.2,
0.561,0.0022602,0,0.2,
0.562,0.0020657,0,0.2,
0.563,0.0021497,0,0.2,
0.564,0.0021014,0,0.2,
0.565,0.0021191,0,0.2,
0.566,0.0019401,0,0.2,
0.567,0.0020697,0,0.2,
0.568,0.002058,0,0.2,
0.569,0.002014,0,0.2,
0.57,0.0020071,0,0.2,
0.571,0.0019244,0,0.2,
0.572,0.0020265,0,0.2,
0.573,0.0020366,0,0.2,
0.574,0.0020134,0,0.2,
0.575,0.0019565,0,0.2,
0.576,0.0019192,0,0.2,
0.577,0.0019717,0,0.2,
0.578,0.0019109,0,0.2,
0.579,0.0018838,0,0.2,
0.58,0.0019334,0,0.2,
0.581,0.0018912,0,0.2,
0.582,0.0019043,0,0.2,
0.583,0.0019093,0,0.2,
0.584,0.0018932,0,0.2,
0.585,0.0018634,0,0.2,
0.586,0.0017824,0,0.2,
0.587,0.0018404,0,0.2,
0.588,0.0018182,0,0.2,
0.589,0.0016268,0,0.2,
0.59,0.001677,0,0.2,
0.591,0.0017634,0,0.2,
0.592,0.0017274,0,0.2,
0.593,0.0017179,0,0.2,
0.594,0.0017261,0,0.2,
0.595,0.0016985,0,0.2,
0.596,0.0017076,0,0.2,
0.597,0.0017108,0,0.2,
0.598,0.0016599,0,0.2,
0.599,0.0016498,0,0.2,
0.6,0.0016415,0,0.2,
