PROFILE,WAVLEN_MCRN,TOTAL_RAD,GRND_RFLCT,WATER
TRP,0.377,0.0052536,0.013268,0.5
TRP,0.377,0.0052536,0.013268,1.0
TRP,0.377,0.0052536,0.013268,1.5
TRP,0.377,0.0052536,0.013268,2.0
TRP,0.378,0.0067929,0.017401,0.2
TRP,0.378,0.0067929,0.017401,0.5
TRP,0.378,0.0067929,0.017401,1.0
TRP,0.378,0.0067929,0.017401,1.5
TRP,0.378,0.0067929,0.017401,2.0
TRP,0.379,0.0051643,0.013411,0.2
TRP,0.379,0.0051643,0.013411,0.5
TRP,0.379,0.0051643,0.013411,1.0
TRP,0.379,0.0051643,0.013411,1.5
TRP,0.379,0.0051643,0.013411,2.0
TRP,0.38,0.0047169,0.012441,0.2
TRP,0.38,0.0047169,0.012441,0.5
TRP,0.38,0.0047169,0.012441,1.0
TRP,0.38,0.0047169,0.012441,1.5
TRP,0.38,0.0047169,0.012441,2.0
TRP,0.381,0.0053675,0.014345,0.2
TRP,0.381,0.0053675,0.014345,0.5
TRP,0.381,0.0053675,0.014345,1.0
TRP,0.381,0.0053675,0.014345,1.5
TRP,0.381,0.0053675,0.014345,2.0
TRP,0.382,0.0039545,0.010722,0.2
TRP,0.382,0.0039545,0.010722,0.5
TRP,0.382,0.0039545,0.010722,1.0
TRP,0.382,0.0039545,0.010722,1.5
TRP,0.382,0.0039545,0.010722,2.0
TRP,0.383,0.0027162,0.0074707,0.2
TRP,0.383,0.0027162,0.0074707,0.5
TRP,0.383,0.0027162,0.0074707,1.0
TRP,0.383,0.0027162,0.0074706,1.5
TRP,0.383,0.0027162,0.0074706,2.0
TRP,0.384,0.002962,0.0082647,0.2
TRP,0.384,0.002962,0.0082647,0.5
TRP,0.384,0.002962,0.0082647,1.0
TRP,0.384,0.002962,0.0082647,1.5
TRP,0.384,0.002962,0.0082647,2.0
TRP,0.385,0.0044277,0.012518,0.2
TRP,0.385,0.0044277,0.012518,0.5
TRP,0.385,0.0044277,0.012518,1.0
TRP,0.385,0.0044277,0.012518,1.5
TRP,0.385,0.0044277,0.012518,2.0
TRP,0.386,0.0034192,0.0098041,0.2
TRP,0.386,0.0034192,0.0098041,0.5
TRP,0.386,0.0034192,0.0098041,1.0
TRP,0.386,0.0034192,0.0098041,1.5
TRP,0.386,0.0034192,0.0098041,2.0
TRP,0.387,0.0038265,0.011112,0.2
TRP,0.387,0.0038265,0.011112,0.5
TRP,0.387,0.0038265,0.011112,1.0
TRP,0.387,0.0038265,0.011112,1.5
TRP,0.387,0.0038265,0.011112,2.0
TRP,0.388,0.0037967,0.01118,0.2
TRP,0.388,0.0037967,0.01118,0.5
TRP,0.388,0.0037967,0.01118,1.0
TRP,0.388,0.0037967,0.01118,1.5
TRP,0.388,0.0037967,0.01118,2.0
TRP,0.389,0.0042186,0.012605,0.2
TRP,0.389,0.0042186,0.012605,0.5
TRP,0.389,0.0042186,0.012605,1.0
TRP,0.389,0.0042186,0.012605,1.5
TRP,0.389,0.0042186,0.012605,2.0
TRP,0.39,0.0051635,0.015626,0.2
TRP,0.39,0.0051635,0.015626,0.5
TRP,0.39,0.0051635,0.015626,1.0
TRP,0.39,0.0051635,0.015626,1.5
TRP,0.39,0.0051635,0.015626,2.0
TRP,0.391,0.0056556,0.017356,0.2
TRP,0.391,0.0056556,0.017356,0.5
TRP,0.391,0.0056556,0.017356,1.0
TRP,0.391,0.0056556,0.017356,1.5
TRP,0.391,0.0056556,0.017356,2.0
TRP,0.392,0.0049695,0.015441,0.2
TRP,0.392,0.0049695,0.015441,0.5
TRP,0.392,0.0049695,0.015441,1.0
TRP,0.392,0.0049695,0.015441,1.5
TRP,0.392,0.0049695,0.015441,2.0
TRP,0.393,0.0026485,0.0083248,0.2
TRP,0.393,0.0026485,0.0083248,0.5
TRP,0.393,0.0026485,0.0083248,1.0
TRP,0.393,0.0026485,0.0083248,1.5
TRP,0.393,0.0026485,0.0083248,2.0
TRP,0.394,0.0028607,0.0091456,0.2
TRP,0.394,0.0028607,0.0091456,0.5
TRP,0.394,0.0028607,0.0091456,1.0
TRP,0.394,0.0028607,0.0091456,1.5
TRP,0.394,0.0028607,0.0091456,2.0
TRP,0.395,0.0048418,0.01566,0.2
TRP,0.395,0.0048418,0.01566,0.5
TRP,0.395,0.0048418,0.01566,1.0
TRP,0.395,0.0048418,0.01566,1.5
TRP,0.395,0.0048418,0.01566,2.0
TRP,0.396,0.0048559,0.015896,0.2
TRP,0.396,0.0048559,0.015896,0.5
TRP,0.396,0.0048559,0.015896,1.0
TRP,0.396,0.0048559,0.015896,1.5
TRP,0.396,0.0048559,0.015896,2.0
TRP,0.397,0.0019735,0.0065517,0.2
TRP,0.397,0.0019735,0.0065517,0.5
TRP,0.397,0.0019735,0.0065517,1.0
TRP,0.397,0.0019735,0.0065517,1.5
TRP,0.397,0.0019735,0.0065517,2.0
TRP,0.398,0.0053706,0.018062,0.2
TRP,0.398,0.0053706,0.018062,0.5
TRP,0.398,0.0053706,0.018062,1.0
TRP,0.398,0.0053706,0.018062,1.5
TRP,0.398,0.0053706,0.018062,2.0
TRP,0.399,0.0064351,0.021917,0.2
TRP,0.399,0.0064351,0.021917,0.5
TRP,0.399,0.0064351,0.021917,1.0
TRP,0.399,0.0064351,0.021917,1.5
TRP,0.399,0.0064351,0.021917,2.0
TRP,0.4,0.0063196,0.021802,0.2
TRP,0.4,0.0063196,0.021802,0.5
TRP,0.4,0.0063196,0.021802,1.0
TRP,0.4,0.0063196,0.021802,1.5
TRP,0.4,0.0063196,0.021802,2.0
TRP,0.401,0.0061496,0.02148,0.2
TRP,0.401,0.0061496,0.02148,0.5
TRP,0.401,0.0061496,0.02148,1.0
TRP,0.401,0.0061496,0.02148,1.5
TRP,0.401,0.0061496,0.02148,2.0
TRP,0.402,0.0063916,0.022605,0.2
TRP,0.402,0.0063916,0.022605,0.5
TRP,0.402,0.0063916,0.022605,1.0
TRP,0.402,0.0063916,0.022605,1.5
TRP,0.402,0.0063916,0.022605,2.0
TRP,0.403,0.0059942,0.021463,0.2
TRP,0.403,0.0059942,0.021463,0.5
TRP,0.403,0.0059942,0.021463,1.0
TRP,0.403,0.0059942,0.021463,1.5
TRP,0.403,0.0059942,0.021463,2.0
TRP,0.404,0.0063134,0.022891,0.2
TRP,0.404,0.0063134,0.022891,0.5
