WAVLEN_MCRN,TOTAL_RAD,GRND_RFLCT,PROFILE,INITIAL_H2O,FINAL_H2O
0.462,0.0046363,0.031324,TRP,0.25,0.63509
0.463,0.0045935,0.031324,TRP,0.25,0.63509
0.464,0.0045915,0.031605,TRP,0.25,0.63509
0.465,0.0044735,0.031076,TRP,0.25,0.63509
0.466,0.0045647,0.032003,TRP,0.25,0.63509
0.467,0.004386,0.03103,TRP,0.25,0.63509
0.468,0.004593,0.032788,TRP,0.25,0.63509
0.469,0.0044866,0.032319,TRP,0.25,0.63509
0.47,0.0044059,0.032009,TRP,0.25,0.63509
0.471,0.0043663,0.032022,TRP,0.25,0.63509
0.472,0.0043914,0.032495,TRP,0.25,0.63509
0.473,0.0043219,0.032263,TRP,0.25,0.63509
0.474,0.0042883,0.032306,TRP,0.25,0.63509
0.475,0.004421,0.033605,TRP,0.25,0.63509
0.476,0.0042828,0.032839,TRP,0.25,0.63509
0.477,0.0042148,0.032604,TRP,0.25,0.63509
0.478,0.0043832,0.034199,TRP,0.25,0.63509
0.479,0.0041058,0.032319,TRP,0.25,0.63509
0.48,0.0041648,0.033062,TRP,0.25,0.63509
0.481,0.0040877,0.032731,TRP,0.25,0.63509
0.482,0.004152,0.033532,TRP,0.25,0.63509
0.483,0.0040853,0.033276,TRP,0.25,0.63509
0.484,0.0039205,0.032204,TRP,0.25,0.63509
0.485,0.003899,0.032293,TRP,0.25,0.63509
0.486,0.0031439,0.026253,TRP,0.25,0.63509
0.487,0.0035121,0.029586,TRP,0.25,0.63509
0.488,0.0037636,0.031972,TRP,0.25,0.63509
0.489,0.0034902,0.029891,TRP,0.25,0.63509
0.49,0.0039263,0.033911,TRP,0.25,0.63509
0.491,0.0036257,0.031574,TRP,0.25,0.63509
0.492,0.0034616,0.030395,TRP,0.25,0.63509
0.493,0.0037231,0.032965,TRP,0.25,0.63509
0.494,0.0035514,0.031703,TRP,0.25,0.63509
0.495,0.0037756,0.033975,TRP,0.25,0.63509
0.496,0.0036334,0.032963,TRP,0.25,0.63509
0.497,0.0035069,0.03207,TRP,0.25,0.63509
0.498,0.0033897,0.031241,TRP,0.25,0.63509
0.499,0.0033588,0.031213,TRP,0.25,0.63509
0.5,0.0033205,0.031093,TRP,0.25,0.63509
0.501,0.0032165,0.030359,TRP,0.25,0.63509
0.502,0.0031802,0.030228,TRP,0.25,0.63509
0.503,0.0033244,0.031818,TRP,0.25,0.63509
0.504,0.0030466,0.029221,TRP,0.25,0.63509
0.505,0.0032825,0.031909,TRP,0.25,0.63509
0.506,0.0034893,0.034153,TRP,0.25,0.63509
0.507,0.0032201,0.031746,TRP,0.25,0.63509
0.508,0.0030792,0.030611,TRP,0.25,0.63509
0.509,0.0032718,0.032807,TRP,0.25,0.63509
0.51,0.0031572,0.031912,TRP,0.25,0.63509
0.511,0.0031527,0.032138,TRP,0.25,0.63509
0.512,0.0032518,0.033408,TRP,0.25,0.63509
0.513,0.0029662,0.030712,TRP,0.25,0.63509
0.514,0.0029057,0.030311,TRP,0.25,0.63509
0.515,0.002937,0.030872,TRP,0.25,0.63509
0.516,0.0030415,0.03221,TRP,0.25,0.63509
0.517,0.0022374,0.023863,TRP,0.25,0.63509
0.518,0.0027353,0.029393,TRP,0.25,0.63509
0.519,0.0025859,0.028004,TRP,0.25,0.63509
0.52,0.0028134,0.030687,TRP,0.25,0.63509
0.521,0.0028029,0.030798,TRP,0.25,0.63509
0.522,0.0028883,0.031966,TRP,0.25,0.63509
0.523,0.0026805,0.02988,TRP,0.25,0.63509
0.524,0.0028638,0.032145,TRP,0.25,0.63509
0.525,0.0028446,0.032156,TRP,0.25,0.63509
0.526,0.0026704,0.030411,TRP,0.25,0.63509
0.527,0.0023295,0.026714,TRP,0.25,0.63509
0.528,0.0027307,0.031542,TRP,0.25,0.63509
0.529,0.0028349,0.032976,TRP,0.25,0.63509
0.53,0.002646,0.030995,TRP,0.25,0.63509
0.531,0.0028559,0.03369,TRP,0.25,0.63509
0.532,0.0027101,0.032197,TRP,0.25,0.63509
0.533,0.0023859,0.028544,TRP,0.25,0.63509
0.534,0.0025371,0.030564,TRP,0.25,0.63509
0.535,0.0026002,0.031545,TRP,0.25,0.63509
0.536,0.0027189,0.033209,TRP,0.25,0.63509
0.537,0.0025034,0.030789,TRP,0.25,0.63509
0.538,0.0026386,0.03267,TRP,0.25,0.63509
0.539,0.0025799,0.032158,TRP,0.25,0.63509
0.54,0.0024941,0.031283,TRP,0.25,0.63509
0.541,0.0022996,0.028997,TRP,0.25,0.63509
0.542,0.0025201,0.031988,TRP,0.25,0.63509
0.543,0.002415,0.030906,TRP,0.25,0.63509
0.544,0.0025146,0.032365,TRP,0.25,0.63509
0.545,0.0024668,0.031976,TRP,0.25,0.63509
0.546,0.0024054,0.031352,TRP,0.25,0.63509
0.547,0.0024615,0.032333,TRP,0.25,0.63509
0.548,0.0022935,0.030343,TRP,0.25,0.63509
0.549,0.0023829,0.03174,TRP,0.25,0.63509
0.55,0.0023313,0.031264,TRP,0.25,0.63509
0.551,0.0023058,0.031138,TRP,0.25,0.63509
0.552,0.0023759,0.032312,TRP,0.25,0.63509
0.553,0.0022752,0.031154,TRP,0.25,0.63509
0.554,0.002334,0.032181,TRP,0.25,0.63509
0.555,0.0023159,0.032148,TRP,0.25,0.63509
0.556,0.0022438,0.031359,TRP,0.25,0.63509
0.557,0.0021903,0.030817,TRP,0.25,0.63509
0.558,0.0022242,0.031507,TRP,0.25,0.63509
0.559,0.0020973,0.029908,TRP,0.25,0.63509
0.56,0.0021056,0.030227,TRP,0.25,0.63509
0.561,0.0022778,0.032918,TRP,0.25,0.63509
0.562,0.0020824,0.030294,TRP,0.25,0.63509
0.563,0.0021677,0.031741,TRP,0.25,0.63509
0.564,0.0021192,0.031235,TRP,0.25,0.63509
0.565,0.0021376,0.031713,TRP,0.25,0.63509
0.566,0.0019573,0.029227,TRP,0.25,0.63509
0.567,0.0020883,0.031383,TRP,0.25,0.63509
0.568,0.0020764,0.031361,TRP,0.25,0.63509
0.569,0.0020307,0.030738,TRP,0.25,0.63509
0.57,0.0020248,0.030911,TRP,0.25,0.63509
0.571,0.0019425,0.029932,TRP,0.25,0.63509
0.572,0.0020451,0.03165,TRP,0.25,0.63509
0.573,0.0020555,0.032031,TRP,0.25,0.63509
0.574,0.0020322,0.031884,TRP,0.25,0.63509
0.575,0.0019746,0.031173,TRP,0.25,0.63509
0.576,0.0019371,0.030793,TRP,0.25,0.63509
0.577,0.0019897,0.031844,TRP,0.25,0.63509
0.578,0.0019284,0.031082,TRP,0.25,0.63509
0.579,0.0019009,0.030847,TRP,0.25,0.63509
0.58,0.0019505,0.031855,TRP,0.25,0.63509
0.581,0.0019076,0.031356,TRP,0.25,0.63509
0.582,0.0019204,0.031761,TRP,0.25,0.63509
0.583,0.0019252,0.032039,TRP,0.25,0.63509
0.584,0.0019086,0.031954,TRP,0.25,0.63509
0.585,0.0018783,0.031636,TRP,0.25,0.63509
0.586,0.0017964,0.030421,TRP,0.25,0.63509
0.587,0.001854,0.031534,TRP,0.25,0.63509
0.588,0.0018293,0.03108,TRP,0.25,0.63509
0.589,0.0016324,0.027476,TRP,0.25,0.63509
0.59,0.0016831,0.028532,TRP,0.25,0.63509
0.591,0.0017725,0.030475,TRP,0.25,0.63509
0.592,0.001735,0.029865,TRP,0.25,0.63509
0.593,0.0017274,0.030079,TRP,0.25,0.63509
0.594,0.0017355,0.030354,TRP,0.25,0.63509
0.595,0.001707,0.029931,TRP,0.25,0.63509
0.596,0.0017198,0.030658,TRP,0.25,0.63509
0.597,0.0017234,0.030873,TRP,0.25,0.63509
0.598,0.001673,0.030234,TRP,0.25,0.63509
0.599,0.0016637,0.030297,TRP,0.25,0.63509
0.6,0.0016565,0.030437,TRP,0.25,0.63509
0.601,0.0016233,0.030069,TRP,0.25,0.63509
0.602,0.0016067,0.029953,TRP,0.25,0.63509
0.603,0.001609,0.030195,TRP,0.25,0.63509
0.604,0.0016481,0.03112,TRP,0.25,0.63509
0.605,0.0016358,0.031075,TRP,0.25,0.63509
0.606,0.0016116,0.030794,TRP,0.25,0.63509
0.607,0.0015927,0.030611,TRP,0.25,0.63509
0.608,0.0015815,0.030572,TRP,0.25,0.63509
0.609,0.001558,0.030293,TRP,0.25,0.63509
0.61,0.0015367,0.03005,TRP,0.25,0.63509
0.611,0.0015391,0.030273,TRP,0.25,0.63509
0.612,0.0015188,0.030042,TRP,0.25,0.63509
0.613,0.0014909,0.029661,TRP,0.25,0.63509
0.614,0.0014334,0.028681,TRP,0.25,0.63509
0.615,0.0014928,0.03004,TRP,0.25,0.63509
0.616,0.0014087,0.028505,TRP,0.25,0.63509
0.617,0.0014203,0.028906,TRP,0.25,0.63509
0.618,0.0014809,0.030309,TRP,0.25,0.63509
0.619,0.0014573,0.029991,TRP,0.25,0.63509
0.62,0.0014748,0.030522,TRP,0.25,0.63509
0.621,0.0014842,0.030889,TRP,0.25,0.63509
0.622,0.0014167,0.029648,TRP,0.25,0.63509
0.623,0.0014173,0.029823,TRP,0.25,0.63509
0.624,0.0014054,0.029739,TRP,0.25,0.63509
0.625,0.001367,0.029085,TRP,0.25,0.63509
0.626,0.001367,0.029231,TRP,0.25,0.63509
0.627,0.0013907,0.029852,TRP,0.25,0.63509
0.628,0.0013315,0.028261,TRP,0.25,0.63509
0.629,0.001381,0.029795,TRP,0.25,0.63509
0.63,0.0013236,0.028716,TRP,0.25,0.63509
0.631,0.0013761,0.030135,TRP,0.25,0.63509
0.632,0.0012869,0.028306,TRP,0.25,0.63509
0.633,0.001368,0.030311,TRP,0.25,0.63509
0.634,0.0013226,0.029502,TRP,0.25,0.63509
0.635,0.0013389,0.030024,TRP,0.25,0.63509
0.636,0.0012921,0.029138,TRP,0.25,0.63509
0.637,0.001321,0.029945,TRP,0.25,0.63509
0.638,0.0013353,0.030453,TRP,0.25,0.63509
0.639,0.0013137,0.030115,TRP,0.25,0.63509
0.64,0.0012761,0.02941,TRP,0.25,0.63509
0.641,0.0012829,0.029717,TRP,0.25,0.63509
