PROFILE,WAVLEN_MCRN,TOTAL_RAD,GRND_RFLCT,WATER
MLW,0.377,0.0052128,0.013327,0.2
MLW,0.377,0.0052128,0.013327,0.5
MLW,0.377,0.0052128,0.013327,1.0
MLW,0.377,0.0052128,0.013327,1.5
MLW,0.377,0.0052128,0.013327,2.0
MLW,0.378,0.0067399,0.017478,0.2
MLW,0.378,0.0067399,0.017478,0.5
MLW,0.378,0.0067399,0.017478,1.0
MLW,0.378,0.0067399,0.017478,1.5
MLW,0.378,0.0067399,0.017478,2.0
MLW,0.379,0.0051243,0.01347,0.2
MLW,0.379,0.0051243,0.01347,0.5
MLW,0.379,0.0051243,0.01347,1.0
MLW,0.379,0.0051243,0.01347,1.5
MLW,0.379,0.0051243,0.01347,2.0
MLW,0.38,0.0046806,0.012495,0.2
MLW,0.38,0.0046806,0.012495,0.5
MLW,0.38,0.0046806,0.012495,1.0
MLW,0.38,0.0046806,0.012495,1.5
MLW,0.38,0.0046806,0.012495,2.0
MLW,0.381,0.0053261,0.014407,0.2
MLW,0.381,0.0053261,0.014407,0.5
MLW,0.381,0.0053261,0.014407,1.0
MLW,0.381,0.0053261,0.014407,1.5
MLW,0.381,0.0053261,0.014407,2.0
MLW,0.382,0.003924,0.010768,0.2
MLW,0.382,0.003924,0.010768,0.5
MLW,0.382,0.003924,0.010768,1.0
MLW,0.382,0.003924,0.010768,1.5
MLW,0.382,0.003924,0.010768,2.0
MLW,0.383,0.0026952,0.0075018,0.2
MLW,0.383,0.0026952,0.0075018,0.5
MLW,0.383,0.0026952,0.0075018,1.0
MLW,0.383,0.0026952,0.0075018,1.5
MLW,0.383,0.0026952,0.0075018,2.0
MLW,0.384,0.0029394,0.008299,0.2
MLW,0.384,0.0029394,0.008299,0.5
MLW,0.384,0.0029394,0.008299,1.0
MLW,0.384,0.0029394,0.008299,1.5
MLW,0.384,0.0029394,0.008299,2.0
MLW,0.385,0.004394,0.01257,0.2
MLW,0.385,0.004394,0.01257,0.5
MLW,0.385,0.004394,0.01257,1.0
MLW,0.385,0.004394,0.01257,1.5
MLW,0.385,0.004394,0.01257,2.0
MLW,0.386,0.0033931,0.0098438,0.2
MLW,0.386,0.0033931,0.0098438,0.5
MLW,0.386,0.0033931,0.0098438,1.0
MLW,0.386,0.0033931,0.0098438,1.5
MLW,0.386,0.0033931,0.0098438,2.0
MLW,0.387,0.0037973,0.011157,0.2
MLW,0.387,0.0037973,0.011157,0.5
MLW,0.387,0.0037973,0.011157,1.0
MLW,0.387,0.0037973,0.011157,1.5
MLW,0.387,0.0037973,0.011157,2.0
MLW,0.388,0.0037679,0.011224,0.2
MLW,0.388,0.0037679,0.011224,0.5
MLW,0.388,0.0037679,0.011224,1.0
MLW,0.388,0.0037679,0.011224,1.5
MLW,0.388,0.0037679,0.011224,2.0
MLW,0.389,0.0041867,0.012655,0.2
MLW,0.389,0.0041867,0.012655,0.5
MLW,0.389,0.0041867,0.012655,1.0
MLW,0.389,0.0041867,0.012655,1.5
MLW,0.389,0.0041867,0.012655,2.0
MLW,0.39,0.0051246,0.015687,0.2
MLW,0.39,0.0051246,0.015687,0.5
MLW,0.39,0.0051246,0.015687,1.0
MLW,0.39,0.0051246,0.015687,1.5
MLW,0.39,0.0051246,0.015687,2.0
MLW,0.391,0.005613,0.017423,0.2
MLW,0.391,0.005613,0.017423,0.5
MLW,0.391,0.005613,0.017423,1.0
MLW,0.391,0.005613,0.017423,1.5
MLW,0.391,0.005613,0.017423,2.0
MLW,0.392,0.0049323,0.0155,0.2
MLW,0.392,0.0049323,0.0155,0.5
MLW,0.392,0.0049323,0.0155,1.0
MLW,0.392,0.0049323,0.0155,1.5
MLW,0.392,0.0049323,0.0155,2.0
MLW,0.393,0.0026286,0.0083561,0.2
MLW,0.393,0.0026286,0.0083561,0.5
MLW,0.393,0.0026286,0.0083561,1.0
MLW,0.393,0.0026286,0.0083561,1.5
MLW,0.393,0.0026286,0.0083561,2.0
MLW,0.394,0.0028392,0.0091793,0.2
MLW,0.394,0.0028392,0.0091793,0.5
MLW,0.394,0.0028392,0.0091793,1.0
MLW,0.394,0.0028392,0.0091793,1.5
MLW,0.394,0.0028392,0.0091793,2.0
MLW,0.395,0.0048057,0.015718,0.2
MLW,0.395,0.0048057,0.015718,0.5
MLW,0.395,0.0048057,0.015718,1.0
MLW,0.395,0.0048057,0.015718,1.5
MLW,0.395,0.0048057,0.015718,2.0
MLW,0.396,0.0048198,0.015955,0.2
MLW,0.396,0.0048198,0.015955,0.5
MLW,0.396,0.0048198,0.015955,1.0
MLW,0.396,0.0048198,0.015955,1.5
MLW,0.396,0.0048198,0.015955,2.0
MLW,0.397,0.0019588,0.0065751,0.2
MLW,0.397,0.0019588,0.0065751,0.5
MLW,0.397,0.0019588,0.0065751,1.0
MLW,0.397,0.0019588,0.0065751,1.5
MLW,0.397,0.0019588,0.0065751,2.0
MLW,0.398,0.0053311,0.018127,0.2
MLW,0.398,0.0053311,0.018127,0.5
MLW,0.398,0.0053311,0.018127,1.0
MLW,0.398,0.0053311,0.018127,1.5
MLW,0.398,0.0053311,0.018127,2.0
MLW,0.399,0.0063875,0.021994,0.2
MLW,0.399,0.0063875,0.021994,0.5
MLW,0.399,0.0063875,0.021994,1.0
MLW,0.399,0.0063875,0.021994,1.5
MLW,0.399,0.0063875,0.021994,2.0
MLW,0.4,0.0062734,0.021879,0.2
MLW,0.4,0.0062734,0.021879,0.5
MLW,0.4,0.0062734,0.021879,1.0
MLW,0.4,0.0062734,0.021879,1.5
MLW,0.4,0.0062734,0.021879,2.0
MLW,0.401,0.0061047,0.021555,0.2
MLW,0.401,0.0061047,0.021555,0.5
MLW,0.401,0.0061047,0.021555,1.0
MLW,0.401,0.0061047,0.021555,1.5
MLW,0.401,0.0061047,0.021555,2.0
MLW,0.402,0.0063447,0.022682,0.2
MLW,0.402,0.0063447,0.022682,0.5
MLW,0.402,0.0063447,0.022682,1.0
MLW,0.402,0.0063447,0.022682,1.5
MLW,0.402,0.0063447,0.022682,2.0
MLW,0.403,0.0059502,0.021535,0.2
MLW,0.403,0.0059502,0.021535,0.5
MLW,0.403,0.0059502,0.021535,1.0
MLW,0.403,0.0059502,0.021535,1.5
MLW,0.403,0.0059502,0.021535,2.0
MLW,0.404,0.0062675,0.022968,0.2
MLW,0.404,0.0062675,0.022968,0.5
MLW,0.404,0.0062675,0.022968,1.0
MLW,0.404,0.0062675,0.022968,1.5
MLW,0.404,0.0062675,0.022968,2.0
MLW,0.405,0.0057195,0.021232,0.2
MLW,0.405,0.0057195,0.021232,0.5
MLW,0.405,0.0057195,0.021232,1.0
MLW,0.405,0.0057195,0.021232,1.5
MLW,0.405,0.0057195,0.021232,2.0
MLW,0.406,0.0056229,0.021117,0.2
MLW,0.406,0.0056229,0.021117,0.5
MLW,0.406,0.0056229,0.021117,1.0
MLW,0.406,0.0056229,0.021117,1.5
MLW,0.406,0.0056229,0.021117,2.0
MLW,0.407,0.005397,0.020519,0.2
MLW,0.407,0.005397,0.020519,0.5
MLW,0.407,0.005397,0.020519,1.0
MLW,0.407,0.005397,0.020519,1.5
MLW,0.407,0.005397,0.020519,2.0
MLW,0.408,0.0057633,0.022179,0.2
MLW,0.408,0.0057633,0.022179,0.5
MLW,0.408,0.0057633,0.022179,1.0
MLW,0.408,0.0057633,0.022179,1.5
MLW,0.408,0.0057633,0.022179,2.0
MLW,0.409,0.0062659,0.024408,0.2
MLW,0.409,0.0062659,0.024408,0.5
MLW,0.409,0.0062659,0.024408,1.0
MLW,0.409,0.0062659,0.024408,1.5
MLW,0.409,0.0062659,0.024408,2.0
MLW,0.41,0.0052128,0.020535,0.2
MLW,0.41,0.0052128,0.020535,0.5
MLW,0.41,0.0052128,0.020535,1.0
MLW,0.41,0.0052128,0.020535,1.5
MLW,0.41,0.0052128,0.020535,2.0
MLW,0.411,0.0060558,0.024157,0.2
MLW,0.411,0.0060558,0.024157,0.5
MLW,0.411,0.0060558,0.024157,1.0
MLW,0.411,0.0060558,0.024157,1.5
MLW,0.411,0.0060558,0.024157,2.0
MLW,0.412,0.0062488,0.025218,0.2
MLW,0.412,0.0062488,0.025218,0.5
MLW,0.412,0.0062488,0.025218,1.0
MLW,0.412,0.0062488,0.025218,1.5
MLW,0.412,0.0062488,0.025218,2.0
MLW,0.413,0.005739,0.023433,0.2
MLW,0.413,0.005739,0.023433,0.5
MLW,0.413,0.005739,0.023433,1.0
MLW,0.413,0.005739,0.023433,1.5
MLW,0.413,0.005739,0.023433,2.0
MLW,0.414,0.005629,0.023258,0.2
MLW,0.414,0.005629,0.023258,0.5
MLW,0.414,0.005629,0.023258,1.0
MLW,0.414,0.005629,0.023258,1.5
MLW,0.414,0.005629,0.023258,2.0
MLW,0.415,0.0059076,0.024701,0.2
MLW,0.415,0.0059076,0.024701,0.5
MLW,0.415,0.0059076,0.024701,1.0
MLW,0.415,0.0059076,0.024701,1.5
MLW,0.415,0.0059076,0.024701,2.0
MLW,0.416,0.0058851,0.024897,0.2
MLW,0.416,0.0058851,0.024897,0.5
MLW,0.416,0.0058851,0.024897,1.0
MLW,0.416,0.0058851,0.024897,1.5
MLW,0.416,0.0058851,0.024897,2.0
MLW,0.417,0.0055512,0.023745,0.2
MLW,0.417,0.0055512,0.023745,0.5
MLW,0.417,0.0055512,0.023745,1.0
MLW,0.417,0.0055512,0.023745,1.5
MLW,0.417,0.0055512,0.023745,2.0
MLW,0.418,0.0054406,0.023548,0.2
MLW,0.418,0.0054406,0.023548,0.5
MLW,0.418,0.0054406,0.023548,1.0
MLW,0.418,0.0054406,0.023548,1.5
MLW,0.418,0.0054406,0.023548,2.0
MLW,0.419,0.0054658,0.023929,0.2
MLW,0.419,0.0054658,0.023929,0.5
MLW,0.419,0.0054658,0.023929,1.0
MLW,0.419,0.0054658,0.023929,1.5
MLW,0.419,0.0054658,0.023929,2.0
MLW,0.42,0.0045793,0.020275,0.2
MLW,0.42,0.0045793,0.020275,0.5
MLW,0.42,0.0045793,0.020275,1.0
MLW,0.42,0.0045793,0.020275,1.5
MLW,0.42,0.0045793,0.020275,2.0
MLW,0.421,0.0056971,0.025511,0.2
MLW,0.421,0.0056971,0.025511,0.5
MLW,0.421,0.0056971,0.025511,1.0
MLW,0.421,0.0056971,0.025511,1.5
MLW,0.421,0.0056971,0.025511,2.0
MLW,0.422,0.0053947,0.024436,0.2
MLW,0.422,0.0053947,0.024436,0.5
MLW,0.422,0.0053947,0.024436,1.0
MLW,0.422,0.0053947,0.024436,1.5
MLW,0.422,0.0053947,0.024436,2.0
MLW,0.423,0.0045249,0.020729,0.2
MLW,0.423,0.0045249,0.020729,0.5
MLW,0.423,0.0045249,0.020729,1.0
MLW,0.423,0.0045249,0.020729,1.5
MLW,0.423,0.0045249,0.020729,2.0
MLW,0.424,0.0048654,0.02253,0.2
MLW,0.424,0.0048654,0.02253,0.5
MLW,0.424,0.0048654,0.02253,1.0
MLW,0.424,0.0048654,0.02253,1.5
MLW,0.424,0.0048654,0.02253,2.0
MLW,0.425,0.0050031,0.023424,0.2
MLW,0.425,0.0050031,0.023424,0.5
MLW,0.425,0.0050031,0.023424,1.0
MLW,0.425,0.0050031,0.023424,1.5
MLW,0.425,0.0050031,0.023424,2.0
MLW,0.426,0.0047779,0.022622,0.2
MLW,0.426,0.0047779,0.022622,0.5
MLW,0.426,0.0047779,0.022622,1.0
MLW,0.426,0.0047779,0.022622,1.5
MLW,0.426,0.0047779,0.022622,2.0
MLW,0.427,0.0045431,0.021736,0.2
MLW,0.427,0.0045431,0.021736,0.5
MLW,0.427,0.0045431,0.021736,1.0
MLW,0.427,0.0045431,0.021736,1.5
MLW,0.427,0.0045431,0.021736,2.0
MLW,0.428,0.0045342,0.021943,0.2
MLW,0.428,0.0045342,0.021943,0.5
MLW,0.428,0.0045342,0.021943,1.0
MLW,0.428,0.0045342,0.021943,1.5
MLW,0.428,0.0045342,0.021943,2.0
MLW,0.429,0.0041002,0.020055,0.2
MLW,0.429,0.0041002,0.020055,0.5
MLW,0.429,0.0041002,0.020055,1.0
MLW,0.429,0.0041002,0.020055,1.5
MLW,0.429,0.0041002,0.020055,2.0
MLW,0.43,0.0032579,0.0161,0.2
MLW,0.43,0.0032579,0.0161,0.5
MLW,0.43,0.0032579,0.0161,1.0
MLW,0.43,0.0032579,0.0161,1.5
MLW,0.43,0.0032579,0.0161,2.0
MLW,0.431,0.0028749,0.014372,0.2
MLW,0.431,0.0028749,0.014372,0.5
MLW,0.431,0.0028749,0.014372,1.0
MLW,0.431,0.0028749,0.014372,1.5
MLW,0.431,0.0028749,0.014372,2.0
MLW,0.432,0.0051266,0.025897,0.2
MLW,0.432,0.0051266,0.025897,0.5
MLW,0.432,0.0051266,0.025897,1.0
MLW,0.432,0.0051266,0.025897,1.5
MLW,0.432,0.0051266,0.025897,2.0
MLW,0.433,0.0045183,0.023083,0.2
MLW,0.433,0.0045183,0.023083,0.5
MLW,0.433,0.0045183,0.023083,1.0
MLW,0.433,0.0045183,0.023083,1.5
MLW,0.433,0.0045183,0.023083,2.0
MLW,0.434,0.004273,0.02204,0.2
MLW,0.434,0.004273,0.02204,0.5
MLW,0.434,0.004273,0.02204,1.0
MLW,0.434,0.004273,0.02204,1.5
MLW,0.434,0.004273,0.02204,2.0
MLW,0.435,0.0045566,0.023755,0.2
MLW,0.435,0.0045566,0.023755,0.5
MLW,0.435,0.0045566,0.023755,1.0
MLW,0.435,0.0045566,0.023755,1.5
MLW,0.435,0.0045566,0.023755,2.0
MLW,0.436,0.0050305,0.026508,0.2
MLW,0.436,0.0050305,0.026508,0.5
MLW,0.436,0.0050305,0.026508,1.0
MLW,0.436,0.0050305,0.026508,1.5
MLW,0.436,0.0050305,0.026508,2.0
MLW,0.437,0.005013,0.026689,0.2
MLW,0.437,0.005013,0.026689,0.5
MLW,0.437,0.005013,0.026689,1.0
MLW,0.437,0.005013,0.026689,1.5
MLW,0.437,0.005013,0.026689,2.0
MLW,0.438,0.0044857,0.024132,0.2
MLW,0.438,0.0044857,0.024132,0.5
MLW,0.438,0.0044857,0.024132,1.0
MLW,0.438,0.0044857,0.024132,1.5
MLW,0.438,0.0044857,0.024132,2.0
MLW,0.439,0.0042399,0.023057,0.2
MLW,0.439,0.0042399,0.023057,0.5
MLW,0.439,0.0042399,0.023057,1.0
MLW,0.439,0.0042399,0.023057,1.5
MLW,0.439,0.0042399,0.023057,2.0
MLW,0.44,0.0047208,0.025931,0.2
MLW,0.44,0.0047208,0.025931,0.5
MLW,0.44,0.0047208,0.025931,1.0
MLW,0.44,0.0047208,0.025931,1.5
MLW,0.44,0.0047208,0.025931,2.0
MLW,0.441,0.0046824,0.025992,0.2
MLW,0.441,0.0046824,0.025991,0.5
MLW,0.441,0.0046823,0.025991,1.0
MLW,0.441,0.0046823,0.02599,1.5
MLW,0.441,0.0046823,0.02599,2.0
MLW,0.442,0.004858,0.027236,0.2
