WAVLEN_MCRN,TOTAL_RAD,GRND_RFLCT,PROFILE,INITIAL_H2O,FINAL_H2O
0.462,0.0046312,0.031269,MLS,0.5,0.88814
0.463,0.0045888,0.031269,MLS,0.5,0.88814
0.464,0.0045869,0.03155,MLS,0.5,0.88814
0.465,0.0044695,0.031024,MLS,0.5,0.88814
0.466,0.0045613,0.031954,MLS,0.5,0.88814
0.467,0.0043827,0.030979,MLS,0.5,0.88814
0.468,0.0045894,0.032731,MLS,0.5,0.88814
0.469,0.004483,0.03226,MLS,0.5,0.88814
0.47,0.004402,0.031943,MLS,0.5,0.88814
0.471,0.0043627,0.031959,MLS,0.5,0.88814
0.472,0.0043879,0.032431,MLS,0.5,0.88814
0.473,0.0043187,0.032199,MLS,0.5,0.88814
0.474,0.0042851,0.032243,MLS,0.5,0.88814
0.475,0.0044174,0.033536,MLS,0.5,0.88814
0.476,0.0042792,0.03277,MLS,0.5,0.88814
0.477,0.0042107,0.032529,MLS,0.5,0.88814
0.478,0.0043781,0.034112,MLS,0.5,0.88814
0.479,0.0041019,0.032236,MLS,0.5,0.88814
0.48,0.0041585,0.032961,MLS,0.5,0.88814
0.481,0.0040811,0.032626,MLS,0.5,0.88814
0.482,0.0041451,0.033421,MLS,0.5,0.88814
0.483,0.0040787,0.033166,MLS,0.5,0.88814
0.484,0.0039146,0.0321,MLS,0.5,0.88814
0.485,0.0038934,0.032186,MLS,0.5,0.88814
0.486,0.0031398,0.026169,MLS,0.5,0.88814
0.487,0.0035079,0.029494,MLS,0.5,0.88814
0.488,0.0037592,0.031872,MLS,0.5,0.88814
0.489,0.0034858,0.029793,MLS,0.5,0.88814
0.49,0.0039213,0.033798,MLS,0.5,0.88814
0.491,0.0036212,0.031469,MLS,0.5,0.88814
0.492,0.0034573,0.030293,MLS,0.5,0.88814
0.493,0.0037185,0.032853,MLS,0.5,0.88814
0.494,0.003547,0.031592,MLS,0.5,0.88814
0.495,0.0037707,0.033854,MLS,0.5,0.88814
0.496,0.0036285,0.032841,MLS,0.5,0.88814
0.497,0.0035018,0.031947,MLS,0.5,0.88814
0.498,0.0033843,0.031115,MLS,0.5,0.88814
0.499,0.0033528,0.031078,MLS,0.5,0.88814
0.5,0.0033136,0.030947,MLS,0.5,0.88814
0.501,0.003209,0.030204,MLS,0.5,0.88814
0.502,0.003171,0.030048,MLS,0.5,0.88814
0.503,0.0033134,0.031601,MLS,0.5,0.88814
0.504,0.0030322,0.02892,MLS,0.5,0.88814
0.505,0.0032708,0.031681,MLS,0.5,0.88814
0.506,0.0034761,0.033887,MLS,0.5,0.88814
0.507,0.003208,0.031492,MLS,0.5,0.88814
0.508,0.0030685,0.030382,MLS,0.5,0.88814
0.509,0.0032615,0.03258,MLS,0.5,0.88814
0.51,0.0031481,0.031703,MLS,0.5,0.88814
0.511,0.0031444,0.031944,MLS,0.5,0.88814
0.512,0.0032436,0.033211,MLS,0.5,0.88814
0.513,0.0029586,0.030528,MLS,0.5,0.88814
0.514,0.0028982,0.030129,MLS,0.5,0.88814
0.515,0.0029293,0.030683,MLS,0.5,0.88814
0.516,0.0030334,0.032009,MLS,0.5,0.88814
0.517,0.0022313,0.023712,MLS,0.5,0.88814
0.518,0.0027278,0.029205,MLS,0.5,0.88814
0.519,0.0025786,0.02782,MLS,0.5,0.88814
0.52,0.0028052,0.030482,MLS,0.5,0.88814
0.521,0.0027944,0.030586,MLS,0.5,0.88814
0.522,0.0028792,0.03174,MLS,0.5,0.88814
0.523,0.0026716,0.029662,MLS,0.5,0.88814
0.524,0.0028534,0.031894,MLS,0.5,0.88814
0.525,0.0028336,0.031893,MLS,0.5,0.88814
0.526,0.0026595,0.030158,MLS,0.5,0.88814
0.527,0.0023192,0.026478,MLS,0.5,0.88814
0.528,0.0027181,0.031257,MLS,0.5,0.88814
0.529,0.0028211,0.032667,MLS,0.5,0.88814
