WAVLEN_MCRN,TOTAL_RAD,GRND_RFLCT,PROFILE,INITIAL_H2O,FINAL_H2O
0.462,0.0045937,0.031333,SAS,0.25,0.33439
0.463,0.0045516,0.031332,SAS,0.25,0.33439
0.464,0.0045501,0.031615,SAS,0.25,0.33439
0.465,0.0044335,0.031088,SAS,0.25,0.33439
0.466,0.0045246,0.032019,SAS,0.25,0.33439
0.467,0.0043474,0.031042,SAS,0.25,0.33439
0.468,0.0045526,0.032799,SAS,0.25,0.33439
0.469,0.0044471,0.03233,SAS,0.25,0.33439
0.47,0.0043672,0.032023,SAS,0.25,0.33439
0.471,0.0043278,0.03203,SAS,0.25,0.33439
0.472,0.0043528,0.032501,SAS,0.25,0.33439
0.473,0.0042841,0.032268,SAS,0.25,0.33439
0.474,0.0042506,0.032305,SAS,0.25,0.33439
0.475,0.0043818,0.033597,SAS,0.25,0.33439
0.476,0.0042442,0.032825,SAS,0.25,0.33439
0.477,0.0041762,0.032582,SAS,0.25,0.33439
0.478,0.0043421,0.034166,SAS,0.25,0.33439
0.479,0.004068,0.032285,SAS,0.25,0.33439
0.48,0.0041239,0.033009,SAS,0.25,0.33439
0.481,0.004047,0.032671,SAS,0.25,0.33439
0.482,0.0041101,0.033464,SAS,0.25,0.33439
0.483,0.0040443,0.033208,SAS,0.25,0.33439
0.484,0.0038816,0.032141,SAS,0.25,0.33439
0.485,0.0038612,0.03224,SAS,0.25,0.33439
0.486,0.0031138,0.026211,SAS,0.25,0.33439
0.487,0.0034789,0.029538,SAS,0.25,0.33439
0.488,0.0037281,0.031919,SAS,0.25,0.33439
0.489,0.0034571,0.029838,SAS,0.25,0.33439
0.49,0.0038886,0.033843,SAS,0.25,0.33439
0.491,0.0035908,0.031507,SAS,0.25,0.33439
0.492,0.0034283,0.030328,SAS,0.25,0.33439
0.493,0.0036873,0.03289,SAS,0.25,0.33439
0.494,0.0035171,0.031627,SAS,0.25,0.33439
0.495,0.0037391,0.033891,SAS,0.25,0.33439
0.496,0.0035979,0.032875,SAS,0.25,0.33439
0.497,0.0034721,0.031978,SAS,0.25,0.33439
0.498,0.0033554,0.031143,SAS,0.25,0.33439
0.499,0.0033239,0.031103,SAS,0.25,0.33439
0.5,0.003285,0.030973,SAS,0.25,0.33439
0.501,0.0031812,0.030231,SAS,0.25,0.33439
0.502,0.0031456,0.030112,SAS,0.25,0.33439
0.503,0.0032866,0.031693,SAS,0.25,0.33439
0.504,0.0030149,0.029211,SAS,0.25,0.33439
0.505,0.0032439,0.031764,SAS,0.25,0.33439
0.506,0.0034491,0.03402,SAS,0.25,0.33439
0.507,0.0031838,0.031638,SAS,0.25,0.33439
0.508,0.0030445,0.030493,SAS,0.25,0.33439
0.509,0.003235,0.032667,SAS,0.25,0.33439
0.51,0.0031219,0.031769,SAS,0.25,0.33439
0.511,0.0031171,0.031975,SAS,0.25,0.33439
0.512,0.003215,0.03323,SAS,0.25,0.33439
0.513,0.0029323,0.030541,SAS,0.25,0.33439
0.514,0.0028722,0.030135,SAS,0.25,0.33439
0.515,0.0029046,0.030702,SAS,0.25,0.33439
0.516,0.003006,0.032013,SAS,0.25,0.33439
0.517,0.0022111,0.023714,SAS,0.25,0.33439
0.518,0.0027031,0.029205,SAS,0.25,0.33439
0.519,0.0025552,0.02782,SAS,0.25,0.33439
0.52,0.0027797,0.030481,SAS,0.25,0.33439
0.521,0.0027689,0.030583,SAS,0.25,0.33439
