Frequency (CM-1),Wavelength (Mm),Solar Irradiance (W CM-2 CM-1),Solar Irradiance (W M-2  uM-1)
49791.0,0.20083950914823964,1.277e-09,3.1658664806370003
49790.0,0.2008435428800964,1.679e-09,4.1623150439000005
49789.0,0.2008475767739862,2.289e-09,5.674304008569
49788.0,0.20085161082991887,2.618e-09,6.489616063392
49787.0,0.20085564504790407,2.625e-09,6.506706593625
49786.0,0.20085967942795163,2.307e-09,5.718235851372
49785.0,0.2008637139700713,2.095e-09,5.192554341375
49784.0,0.20086774867427287,2.004e-09,4.966807098624001
49783.0,0.20087178354056606,2.031e-09,5.033522937759001
49782.0,0.20087581856896067,2.336e-09,5.789186216064
49781.0,0.20087985375946646,2.823e-09,6.995811693903
49780.0,0.2008838891120932,3.068e-09,7.602652491200001
49779.0,0.20088792462685068,3.045e-09,7.545354220845001
49778.0,0.20089196030374865,2.92e-09,7.235319909279999
49777.0,0.20089599614279688,2.687e-09,6.657713521823
49776.0,0.20090003214400515,2.184e-09,5.411187984384
49775.0,0.20090406830738322,1.586e-09,3.9293952912499996
49774.0,0.2009081046329409,1.089e-09,2.697944221764
49773.0,0.20091214112068792,6.502e-10,1.6107739641557999
49772.0,0.20091617777063409,2.951e-10,0.7310370604784
49771.0,0.20092021458278916,2.834e-10,0.7020250017794001
49770.0,0.20092425155716295,6.438e-10,1.59472665702
49769.0,0.2009282886937652,1.016e-09,2.516584614776
49768.0,0.2009323259926057,1.244e-09,3.081206157056
49767.0,0.20093636345369423,1.766e-09,4.373948074374
49766.0,0.20094040107704056,2.146e-09,5.314901106375999
49765.0,0.20094443886265448,2.256e-09,5.5871085876
49764.0,0.20094847681054578,2.319e-09,5.742900759024
49763.0,0.20095251492072425,2.695e-09,6.673779875455
49762.0,0.20095655319319963,2.891e-09,7.158857957804
49761.0,0.20096059162798174,2.923e-09,7.237807264683
49760.0,0.20096463022508038,2.962e-09,7.3340826111999995
49759.0,0.20096866898450533,3.018e-09,7.472441488458
49758.0,0.20097270790626634,3.066e-09,7.590982357224
49757.0,0.2009767469903732,3.081e-09,7.627813629969
49756.0,0.20098078623683577,3.203e-09,7.929537493808
49755.0,0.20098482564566375,3.141e-09,7.775734038524999
49754.0,0.20098886521686699,3.103e-09,7.681353981148001
49753.0,0.20099290495045524,3.074e-09,7.6092597416659995
49752.0,0.20099694484643835,3.114e-09,7.707964323456
49751.0,0.20100098490482604,3.347e-09,8.284367217347
49750.0,0.20100502512562815,3.661e-09,9.0612038125
49749.0,0.20100906550885445,3.808e-09,9.424659107808
49748.0,0.20101310605451475,3.827e-09,9.471302629808001
49747.0,0.20101714676261886,3.707e-09,9.173950181363
49746.0,0.20102118763317653,3.373e-09,8.347043412468
49745.0,0.2010252286661976,2.975e-09,7.361830949375
49744.0,0.20102926986169187,2.589e-09,6.406391272704
49743.0,0.2010333112196691,2.075e-09,5.134309551675
49742.0,0.20103735274013912,1.713e-09,4.238418624132
49741.0,0.20104139442311172,1.628e-09,4.027944007868
49740.0,0.2010454362685967,1.683e-09,4.163855770800001
49739.0,0.20104947827660388,1.92e-09,4.75001879232
49738.0,0.20105352044714303,1.986e-09,4.913103126984
49737.0,0.201057562780224,1.877e-09,4.643264730213
49736.0,0.2010616052758565,1.844e-09,4.561446919424
49735.0,0.20106564793405046,1.679e-09,4.1531244077750005
49734.0,0.20106969075481562,1.656e-09,4.0960675719360005
49733.0,0.2010737337381618,1.95e-09,4.82307401355
49732.0,0.20107777688409878,2.17e-09,5.366999858080001
49731.0,0.20108182019263637,2.114e-09,5.228286371154
49730.0,0.20108586366378445,2.39e-09,5.910644230999999
49729.0,0.20108990729755274,2.43e-09,6.0093254616300005
49728.0,0.2010939510939511,2.661e-09,6.580317671424
49727.0,0.2010979950529893,3.019e-09,7.465306303051
49726.0,0.20110203917467723,3.436e-09,8.496111561136
49725.0,0.20110608345902464,3.446e-09,8.52049560375
49724.0,0.20111012790604135,3.209e-09,7.934176048784
49723.0,0.20111417251573718,2.706e-09,6.690251428674
49722.0,0.20111821728812196,2.355e-09,5.82221300382
49721.0,0.20112226222320548,2.01e-09,4.969077460409999
49720.0,0.2011263073209976,1.598e-09,3.9503812832
49719.0,0.20113035258150808,1.664e-09,4.113372991104
49718.0,0.20113439800474678,1.968e-09,4.864658903232
49717.0,0.2011384435907235,2.057e-09,5.084451643073
49716.0,0.20114248933944806,1.816e-09,4.488572071296
49715.0,0.2011465352509303,1.771e-09,4.377170349475
49714.0,0.20115058132518002,1.494e-09,3.6923938032240002
49713.0,0.20115462756220706,9.68e-10,2.392298133192
49712.0,0.20115867396202125,6.44e-10,1.591506215936
49711.0,0.20116272052463238,6.357e-10,1.5709313642997
49710.0,0.20116676725005028,6.164e-10,1.52317623924
49709.0,0.20117081413828483,6.807e-10,1.6819992723567
49708.0,0.20117486118934577,1.029e-09,2.542540936656
49707.0,0.201178908403243,1.416e-09,3.498632762184
49706.0,0.20118295577998632,1.748e-09,4.318759890128
49705.0,0.20118700331958556,1.839e-09,4.543409538975
49704.0,0.20119105102205054,2.079e-09,5.136143753664
49703.0,0.2011950988873911,2.289e-09,5.654718610401
49702.0,0.20119914691561708,2.361e-09,5.832351866244
49701.0,0.2012031951067383,2.254e-09,5.567806909853999
49700.0,0.2012072434607646,2.201e-09,5.43666809
49699.0,0.2012112919777058,2.119e-09,5.233910083519
49698.0,0.20121534065757174,2.102e-09,5.1917113108079995
49697.0,0.20121938950037224,2.134e-09,5.2705357204059995
49696.0,0.20122343850611718,2.479e-09,6.122367499264
49695.0,0.20122748767481638,3.088e-09,7.6261032612
49694.0,0.20123153700647967,3.525e-09,8.7049650669
49693.0,0.20123558650111686,3.755e-09,9.272575404995
49692.0,0.20123963615873783,3.723e-09,9.193184778672
49691.0,0.2012436859793524,3.506e-09,8.656999356386
49690.0,0.2012477359629704,3.295e-09,8.135671649499999
49689.0,0.20125178610960173,3.156e-09,7.792153651475999
