# Wavelength (µm)	RSR
0.7039	0.000000
0.7052	0.000000
0.7064	0.000000
0.7077	0.000000
0.7090	0.000000
0.7103	0.000000
0.7115	0.000000
0.7128	0.000000
0.7141	0.000000
0.7153	0.000000
0.7166	0.000000
0.7179	0.000000
0.7191	0.000000
0.7204	0.000000
0.7217	0.000000
0.7230	0.000000
0.7242	0.000000
0.7255	0.000000
0.7268	0.000000
0.7280	0.000000
0.7293	0.000000
0.7306	0.000000
0.7318	0.000000
0.7331	0.000000
0.7344	0.000000
0.7357	0.000000
0.7369	0.000000
0.7382	0.000000
0.7395	0.000000
0.7407	0.000000
0.7420	0.000000
0.7433	0.000000
0.7445	0.000000
0.7458	0.000000
0.7471	0.000000
0.7484	0.000000
0.7496	0.000000
0.7509	0.000000
0.7522	0.000000
0.7534	0.000000
0.7547	0.000000
0.7560	0.000000
0.7572	0.000000
0.7585	0.000000
0.7598	0.000000
0.7611	0.000000
0.7623	0.000000
0.7636	0.000000
0.7649	0.000000
0.7661	0.000000
0.7674	0.000000
0.7687	0.000000
0.7699	0.000000
0.7712	0.000000
0.7725	0.000000
0.7738	0.000000
0.7750	0.000000
0.7763	0.000000
0.7776	0.000000
0.7788	0.000000
0.7801	0.000000
0.7814	0.000000
0.7826	0.000000
0.7839	0.000000
0.7852	0.000000
0.7865	0.000000
0.7877	0.000000
0.7890	0.000000
0.7903	0.000000
0.7915	0.000000
0.7928	0.000000
0.7941	0.000000
0.7953	0.000000
0.7966	0.000000
0.7979	0.000000
0.7992	0.000000
0.8004	0.000000
0.8017	0.000000
0.8030	0.000000
0.8042	0.000000
0.8055	0.000000
0.8068	0.000000
0.8081	0.000000
0.8093	0.000000
0.8106	0.000000
0.8119	0.000000
0.8131	0.000000
0.8144	0.000000
0.8157	0.000000
0.8169	0.000000
0.8182	0.000000
0.8195	0.000000
0.8208	0.000000
0.8220	0.000000
0.8233	0.000000
0.8246	0.000000
0.8258	0.000000
0.8271	0.000000
0.8284	0.000000
0.8296	0.000000
0.8309	0.000000
0.8322	0.000000
0.8335	0.000000
0.8347	0.000000
0.8360	0.000000
0.8373	0.000000
0.8385	0.000000
0.8398	0.000000
0.8411	0.000000
0.8423	0.000000
0.8436	0.000000
0.8449	0.000000
0.8462	0.000000
0.8474	0.000000
0.8487	0.000000
0.8500	0.000000
0.8512	0.000000
0.8525	0.000000
0.8538	0.000000
0.8550	0.000000
0.8563	0.000000
0.8576	0.000000
0.8589	0.000000
0.8601	0.000000
0.8614	0.000000
0.8627	0.000000
0.8639	0.000000
0.8652	0.000000
0.8665	0.000000
0.8677	0.000000
0.8690	0.000000
0.8703	0.000000
0.8716	0.000000
0.8728	0.000000
0.8741	0.000000
0.8754	0.000000
0.8766	0.000000
0.8779	0.000000
0.8792	0.000000
0.8804	0.000000
0.8817	0.000000
0.8830	0.000000
0.8843	0.000000
0.8855	0.000000
0.8868	0.000000
0.8881	0.000000
0.8893	0.000000
0.8906	0.000000
0.8919	0.000000
0.8931	0.000000
0.8944	0.000000
0.8957	0.000000
0.8970	0.000000
0.8982	0.000000
0.8995	0.000000
0.9008	0.000000
0.9020	0.000000
0.9033	0.000000
0.9046	0.000000
0.9059	0.000000
0.9071	0.000000
0.9084	0.000000
0.9097	0.000000
0.9109	0.000000
0.9122	0.000000
0.9135	0.000000
0.9147	0.000000
0.9160	0.000000
0.9173	0.000000
0.9186	0.000000
0.9198	0.000000
0.9211	0.000000
0.9224	0.000000
0.9236	0.000000
0.9249	0.000000
0.9262	0.000000
0.9274	0.000000
0.9287	0.000000
0.9300	0.000000
0.9313	0.000000
0.9325	0.000000
0.9338	0.000000
0.9351	0.000000
0.9363	0.000000
0.9376	0.000000
0.9389	0.000000
0.9401	0.000000
0.9414	0.000000
0.9427	0.000000
0.9440	0.000000
0.9452	0.000000
0.9465	0.000000
0.9478	0.000000
0.9490	0.000000
0.9503	0.000000
0.9516	0.000000
0.9528	0.000000
0.9541	0.000000
0.9554	0.000000
0.9567	0.000000
0.9579	0.000000
0.9592	0.000000
0.9605	0.000000
0.9617	0.000000
0.9630	0.000000
0.9643	0.000000
0.9655	0.000000
0.9668	0.000000
0.9681	0.000000
0.9694	0.000000
0.9706	0.000000
0.9719	0.000000
